,tweets
86,"""Supporters Pissed Did You Say Pissed 🤯\nSoo...You're Saying #trumpSupporters Woke Up This Morning &amp; Founded Out That \"""
87,"""@realDonaldTrump @realDonaldTrump is the the same lady you show under “radical left “???? Seems to me that you are using her in lots of campaign ads for many different things. So tell me is she “radical left” or a #TrumpSupporters ??? #BidenHarris2020 https://t.co/I40pQQr8qa"""
88,"""White BLM protestor telling crowd “Black Lives Matter” is confronted by black #WalkAway activist saying tell him “All Lives Matter!” https://t.co/9fcf27d54E"""
89,"""May God protect you\n\n#MAGA #Trump2020 https://t.co/Hy7XygPqNB"""
90,"""“I mean, do you even personally know anyone who has this so-called coronavirus?”\n\n#TrumpSupporters"""
91,"""TO ALL TRUMP SUPPORTERS!! JUDAS SOUL HIS SOUL FOR 30 PIECES OF SILVER, WHAT WAS YOUR PRICE?!!! #TrumpSupporters #religious #Christians #lies #Hypocrites #TrumpFailed #Unbelievers #falseprophets #judas #racism #church"""
92,"""Hope Hicks, who has been working so hard without even taking a small break, has just tested positive for Covid 19. Terrible! The First Lady and I are waiting for our test results. In the meantime, we will begin our quarantine process!"""
93,"""@JoeBiden @PattyLehner Did you see what going on @CityofFairfaxVA? #TrumpSupporters are blocking entrance to early voting. And appears @FairfaxCityPD is doing nothing to stop the #VoterSuppression"""
94,"""@clark_roslyn #TrumpSupporters  aren't #BallotHarvesting and torturing pigs at #Bidenriots"""
95,"""Is this a New York or New Jersey accent? I can’t tell. https://t.co/lPd8nm8rGY"""
96,"""Roll Call: WHO LOVES PRESIDENT TRUMP?!? #MAGA @realDonaldTrump 🇺🇸🇺🇸🇺🇸🇺🇸"""
97,"""Lmao!!! #TrumpHasCovid 🤣 You can pray for him. I'll just #standbackandstandby 😂 let #COVID19 do gods work #trumpsupporters suck 😂 #karensgonewild @realDonaldTrump #karma #coronavirus #JusticeforBreonnaTaylor #LafayetteShooting #traderjoesshooting #murder #PoliceBrutality https://t.co/wkyVaRTjUH"""
98,"""20% of this country is holding the other 80% hostage with overt lies, conspiracy theories, racism, homophobia, &amp; antiquated \"""
99,"""And now .. what some of you have been waiting for: Scenes from Pres. Donald Trump's rally at Grand Aire airport in Swanton, Ohio on Monday, Sept. 21. #trump #trumpsupporters #photojournalism #onassignment https://t.co/2YUyixMluI"""
100,"""2 died of Ebola: They said Barack Obama should resign. \n\n4 died in Benghazi: They had Hillary Clinton testify for 11 hours, held 33 hearings, and launched a multiyear probe.\n\n203,447 died thanks to Donald Trump’s gross incompetence: They cheered him on, and demand 4 more years."""
101,"""GOD BLESS AMERICA #MAGA #Trump2020 https://t.co/eJZjpzSY4I"""
102,"""by 55%-39%, white men in new Quinnipiac national poll favor Trump over Biden\n\nby 53%-43%, white men also say Trump is dishonest"""
103,"""Trump's COVID19 diagnosis must be scary news for a group of people who aren't in the headlines https://t.co/wHzYwlpjgg #TrumpSupporters #TrumpCovid #TrumpSuperSpreaders #GOPSuperSpreaders #GOPCorruptionOverCountry #TrumpKnewAmericansDied #TrumpIsATraitor #TrumpIsANationalDisgrace"""
104,"""Karma is a b*tch. Trump \"""
105,"""87 year old republican Chuck Grassley refuses to get tested despite being at the WH event. Republicans really are that fucking selfish and stupid. #VoteBlue2020 #maga"""
106,"""I have read every @StephenKing novel and am a big fan especially because he has a #corgi but let’s not be evil as we need to take the high road and not stoop below the #TrumpSupporters"""
107,"""People want respect for our Anthem and our Flag. Ratings will only get worse! Didn’t we go through this once before?"""
108,"""For the record,\nThe “noncompliance &amp; distrust of medicine” that Blacks have at large pertaining to gov. lying &amp; using as test subjects, ie #Tuskegee, IS NOT the same as the “protests &amp; noncompliance” of #TrumpSupporters. \n\n#MedTwitter must recognize this. Our approach must differ"""
109,"""@dr_palazzolo @JoeBiden @SenKamalaHarris @SpeakerPelosi They will not scare @realDonaldTrump \nThey will not scare or put the fear in   #TrumpSupporters either"""
110,"""the most cringiest and most ignorant people I’ve ever met #trumpsupporters"""
111,"""True! It’s easy to spot #TrumpSupporters most aren’t #WearingAMask! @lynnanddana"""
112,"""Trump is my guy because he is pro life and an upstanding guy. Praise him. #trumpsupporters https://t.co/PjHV4hoTlZ"""
113,"""There is no longer a question of \"""
114,"""Amen!!#trumpsupporters are children. https://t.co/3tGcLplbkx"""
115,"""But the shooter was a Hilary supporter &amp; angry that Trump won!! He chose that event to hurt #TrumpSupporters little did he know Country music fans love this nation and don’t let politics divide us!!"""
116,"""Parscale stole $40 mil from the Trump Campaign and $10 Mil from  the RNC and bought $300,000 of cars (&amp; 8boats) #TrumpSupporters are donating and Bannon and Parscale are pocketing your money. #CorruptGOP"""
117,"""@Eiggam5955 Relocate them to Siberia, or to the Great Pacific Garbage Patch.\nThey don't love our country; let them go to the Russia they tacitly support, or to the effects of pollution &amp; global warming that they don't believe in.\nThey are UnAmerican to the bone.\n#Deplorables #TrumpSupporters https://t.co/FCyc5Y57Gv"""
118,"""CRYING LAUGHING THIS MORNING!!!🤣 \n#TrumpSupporters https://t.co/0G2qcDLUar"""
119,"""Donald Trump successfully created a new “American Enemy”, China.\nhttps://t.co/rKONw2sHn0\n\n#trump #Trumpeffect #trumpsupporters #TrumpNation  #trumpismypresident #TrumpResistance #China #ChinaVirus #ChinaWatching #Europe #European #India #Asia #USA #AmericaOrTrump #Australia"""
120,"""like everything their secrecy makes it worse, they appear to be indifferent to others' health. Disgusted"""
121,"""OUT TODAY: Report with @chuckgrassley found millions of dollars in questionable financial transactions between Hunter Biden &amp; his associates and foreign individuals, including the wife of the former mayor of Moscow. https://t.co/R1MxQ4xGKP"""
122,"""Nothing but LOVE here at @BrandonStraka’s #WalkAway #UnsilentMajority March! ⠀\n⠀\nAmericans from ALL walks of life have gathered in DC to WALK AWAY from the @DNC https://t.co/82V2D8foF0"""
123,"""The #WalkAway #UNSILENT Majority March on Washington DC https://t.co/l54GSLIMVT via @YouTube"""
124,"""#TrumpSupporters @GOP Time to learn"""
125,"""Didn’t take long.\n\n#TrumpSupporters #Antisemitism https://t.co/opVX8jknb4"""
126,"""💥Breaking: \nOut of an abundance of caution @realDonaldTrump is being transported to Walter Reed for the next few days. He will continue to work from there...\nWe are praying for you, Mr. President! \n#PrayForTrump #MAGA\n#TrumpCovid"""
127,"""At the #WalkAway Unsilent Majority March on Washington there are about 8,000 registered attendees for the main rally. They have ex-military including #NavySEALs and Army Rangers in plain clothes doing recon to prevent any disruptions by counter-protests. https://t.co/S6RqROaylN"""
128,"""I have identified 96 tweets mentioning #MAGA that were tweeted by inauthentic accounts. More information here: https://t.co/E5MBaNCDfC"""
129,"""Hey, #MAGA folks, don't you EVER feel a little bit... I don't know... maybe... conned by this Scam artist? \nWhat a farce!\n#TrumpCult \n#TrumpSupporters are #TrumpsSheep #TrumpMarks"""
130,"""It’s an actual dog and pony show!!  🐕 🐎 😂🤣\n\nThese two beautiful friends are ADORABLE!  Enjoy. \n\n❤️❤️❤️\n\n#Animals \n#OVTTDS\n#ONEv1 \n\n https://t.co/7jPvf9qz8s"""
131,"""They can dish it out, but, can't take it. 🤣\n#TrumpSupporters \n#TrumpIsANationalDisgrace \n#VoteHimOut2020 https://t.co/yn4AQ7nAPV"""
132,"""please go tell your moralizing tone policing to the pile of corpses he's responsible for."""
133,"""Detective Myles Cosgrove, the Louisville police officer who fatally shot Breonna Taylor, is currently raising money to fund his retirement. https://t.co/iq4aYiNPTH"""
134,"""Wow, big news. Pick it up Lamestream Media, and pick it up BIG!"""
135,"""I don’t care what leftists say about the President. My only care about it is this: undecided voters,pay attention.Our side would never wish death upon Biden or anyone else. We’d never celebrate him being sick. Don’t become like them. Choose love &amp;compassion. Come to where we are."""
136,"""@LizRNC Who is that masked man?\n\n#GOPCowards #RVAT2020 #MAGA https://t.co/iM6XFpgxJR"""
137,"""#TrumpSupporters are not always opposed to mask wearing https://t.co/b861B8OV5P"""
138,"""Does anyone else find it odd that no prominent Democrats have had the virus but the list of Republicans goes on and on?"""
139,"""#MAGA rally @StPete getting started https://t.co/L2dh8YcpPy"""
140,"""BREAKING: CARDI B AND SISTER ARE BEING SUED BY #TRUMPSUPPORTERS \n\nhttps://t.co/WHnsICYkpY"""
141,"""@seungminkim @maggieNYT Regeneron two days ago puts it at Thursday. Friday 1 am when the diagnosis was announced by Twitter is after that. They are trying to raise a fog around the timeline because he knew he was positive when he went to Bedminster and his supporters are pissed!"""
142,"""I smell civil war in the United states.. #قولوا_انشالله\n#TrumpSupporters"""
143,"""Is this who you want as President? Really?\n\n#trump #maga #kag #republican #conservative #donaldtrump #usa #trumptrain #keepamericagreat #makeamericagreatagain #wwg #qanon #wga #america #draintheswamp #americafirst #a #trumpsupporters #walkaway #buildthewall #covid #politics https://t.co/ubA0tJLEFK"""
144,"""#republican #trump #maga #conservative #donaldtrump #usa #politics #democrat #america #kag #makeamericagreatagain  #trumptrain #keepamericagreat #democrats #gop #republicans #americafirst #freedom  #election #draintheswamp #rightwing #trumpsupporters #walkaway #buildthewall"""
145,"""https://t.co/5FWsK9vDpU\nSorry. Minnesota , mistake in 2016! #EllectRepublicans #TrumpSupporters"""
146,"""@CNNPolitics https://t.co/u6e58zFCdy"""
147,"""@Myers6287R @SSelly69 I #BackTheBlue  I just don't back #TrumpSupporters real police don't back #TraitorTrump https://t.co/TVc4Lh9TTa"""
148,"""Supporting my dear President! @realdonaldtrump  @whitehouse  #trump2020  #trump2020🇺🇸 #trumpsupporters  #votolatino https://t.co/N2q4cQqu6H"""
149,"""@AngelWarrior321 I say the NY Times needs to remove their one sided opinions and close their doors.  #Trump2020 #MAGA"""
150,"""@BrandonStraka This is one of the key reasons I walked away.  \n\nWhen John Lewis and RBG died, I saw overwhelming respect from most conservatives.  \n\nWhen Herman Cain, Robert Trump &amp; Kingface died, I saw too much spiteful gloating and glee from liberals.\n\n#WalkAway from hate."""
151,"""About his #trumpsupporters https://t.co/14XNzSMNI1"""
152,"""I’m gathering my #Walkaway brothers and sisters and TONIGHT AT 6pm in DC we’re joining others at #WalterReedHospital to pray fervently for @realDonaldTrump and @FLOTUS. They are healed in Jesus name!"""
153,"""@TimEdwardsZero4 This is all you need to see....\n\"""
154,"""How come #TARGETEDINDIVIDUALS can't band together like #qanon &amp; #maga?"""
155,"""... the Charlottesville lawsuit. Anglin’s site takes its name from #DerStürmer, a newspaper that published #Nazi propaganda. The site includes sections called “Jewish Problem” and “Race War.” For months, the site struggled to stay online after Anglin published a post mocking... https://t.co/gJIhZop1aK"""
156,"""The dumbest of the dumb #trumpsupporters are the #qanon believers https://t.co/r6efovxvXg"""
157,"""#TrumpSupporters all running to get their #mask this morning... https://t.co/BPTksJqUuj"""
158,"""@GOPChairwoman @realDonaldTrump Explain that to the dead people #TrumpVirus"""
159,"""SEATTLE—RIOTS ARE CREATING TRUMP SUPPORTERS 🇺🇸\n\n“4 years ago, I was laughing at Trump. I live in Seattle...these are not peaceful protests. I’ve never owned a gun until just now, until they started talking about defunding the police.” #riots #seattleprotest https://t.co/RRITGvnIaw"""
160,"""Prayers for the President: @robertjeffress encourages all Americans to pray for President @realDonaldTrump and for his speedy recovery from the China Virus. #AmericaFirst #MAGA #Dobbs https://t.co/WXqDeZqgLX"""
161,"""@BigStick2013 Nothing specific and no evidence, of course, because Biden isn't lying. But then, I guess it's what you should expect to pass as \"""
162,"""@WhiteHouse Why are you saying nothing about the ARMED WHITE NATIONALIST #TrumpSupporters intimidating drivers in #LouisvilleKy today ?????"""
163,"""#MAGA This Is The Real Deal For A Secure Future. #Business MAKE MONEY QUICKLY! Receive The Large Income You Deserve To Have! No Layoffs. No Waiting. We Help Everyone To Succeed. Receive Email Notifications When - \"""
164,"""This is your First Lady, #MAGA #Trumpsupporters, lol. Dont forget vote @JoeBiden"""
165,"""If Republicans don't move ahead to confirm Barrett than they're committing political suicide in the presidential election. Democrats mean to manufacture votes thru mail in ballot counts. Need Barrett's vote to stymie fraud in blue states. #MAGA \nhttps://t.co/vO9db4dYiB"""
166,"""Trump supporters will believe all the words that Trump says but won’t educate themselves on the truth. \nThey act as if he is God. 🤮\n#TrumpSupporters #FuckTrump"""
167,"""Right outside #WalterReedHospital Is it me or is the American Flag, becoming a Trump logo? #VoteHimOut #TrumpCovid #TrumpMeltdown #VoteBidenHarris2020 #RoseGardenMassacre #TrumpHasCovid #TrumpSupporters #flag #americanflag #embarrassing https://t.co/723EVneScx"""
168,"""HEY #MAGA FOLKS! THIS ONE'S FOR YOU!!! https://t.co/JAZSQeVMdb"""
169,"""President Trump never said Covid itself was a HOAX he said Democrats’ response to Covid blaming him &amp; extending lockdowns was their latest hoax which is TRUE. \nWhile Pres. Trump was taking action, Dems spent Jan &amp; Feb telling people to go China town &amp; join crowds. Let’s watch: https://t.co/8iBpkU08mu"""
170,"""The combination of growing public unrest and a \"""
