,tweets
138,"""@realDonaldTrump #Trump2020 Campaign Scorecard 09/23/20\n\n#Trump's achieved 102.5% of his goal to have 200,000 Americans die from COVID-19\n\n#Trump's achieved 97.8% of his goal to lose his 7th TRILLION DOLLARS while in office\n\n#Trump's #CovidSuperSpreaderEvents will kill #TrumpSupporters &amp; Families"""
139,"""People not wearing masks giving me dirty looks for giving them dirty looks for not wearing masks are a whole new level of go fuck yourself."""
140,"""Not all heroes wear capes.\n\nThis is my America... https://t.co/1GXhuPTmB9"""
141,"""Calling #TrumpSupporters bigots does not offend them. They are offended by “PC culture” and when #trump makes offensive remarks, it makes them like him more. We need to stop engaging and attacking and just laughing at them. Like when someone is mad at you in traffic a friendly..."""
142,"""AMAZING! HUGE crowds for #walkaway in Washington DC! “We must vote Republican across the board to SAVE OUR COUNTRY! 🇺🇸🇺🇸🇺🇸 @BrandonStraka @realDonaldTrump https://t.co/vLhQNA799x"""
143,"""When I have #TrumpSupporters trying to run me down cause I stand up for #BlackLivesMatter https://t.co/2k0DQXSMhN"""
144,"""NextGen Is A Joke They Are Lucky To Get A Handful Of Retweets There Is No Youth Mobilization For Your Party Of Hate Kelly Is A China Puppet &amp; Will Sell Out America\n#Trump2020 \n#VoteRedToSaveAmerica \n#BackTheBlue\n#GodBlessAmerica \n#VoteMcSally\n#BuildTheWall\nhttps://t.co/1wvufmiuH8"""
145,"""Lets Go President TRUMP!!!!!! 🇺🇸🇺🇸🇺🇸 #MakeAmericaGreatAgain #PresidentialDebate2020 https://t.co/pHIObXfe72"""
146,"""You’re f*insane. All #TrumpSupporters are nuts. Kool-aid drinkers. How do u explain him down-playing it after knowing how serious it was? Its on a recording for everyone to hear he just said it hardly affects anyone &amp; only older people #TrumpLied200KAmericansdied wear a damn mask"""
147,"""Support the border wall? Our #BuildTheWall mug is a real conversation starter! Click the link to get yours today: https://t.co/PyLeEXWtYx"""
148,"""This #TrumpTrain is approximately 7 miles long. That’s approximately 4,000 vehicles. Conservatively 12,000 patriotic Americans showing their love for their country. #GodBlessAmerica #Trump2020 #LetFreedomRing #TheRealDonaldTrump #TheRealDonaldJTrump https://t.co/NLgQ1Wx29b"""
149,"""JASON MILLER IS A BITCH!\n\n@JasonMillerinDC \nDon’t make excuses for your presidents refusal to condemn\nThe Proud Boys.\n\n#TrumpIsARacist🗣\n#JasonMillerIsABitch🗣\n#KidVicious🖕🏽😡🖕🏽 \n\n https://t.co/5GMmqYl0Pa"""
150,"""I was 2 years old when Biden was elected to the Senate. So yes, I agree. Let’s #DrainTheSwamp"""
151,"""@realDonaldTrump Get well soon, Mr. President! #MAGA"""
152,"""Open Tweet to #MAGA, when we elected Trump to be our President, we've opened Pandora's box, please realize this."""
154,"""850 Americans died of COVID-19 yesterday.\nNone got the special “antibody cocktail.”"""
155,"""Supporters Pissed Did You Say Pissed 🤯\nSoo...You're Saying #trumpSupporters Woke Up This Morning &amp; Founded Out That \"""
